,Unnamed: 0,ISIN,Currency,Exchange,ETF Underlying Index Ticker,Dvd Freq,Code,Type,Name,GICS Sector,GICS Ind Name,Name.1,ExchangeCode,Country
347,347,FR0011184241,EUR,FP,#N/A Field Not Applicable,None,ADOC,Common Stock,ADOCIA SAS,Health Care,Biotechnology,ADOCIA SAS,PA,France
348,348,FR0013214145,EUR,FP,#N/A Field Not Applicable,None,SMCP,Common Stock,SMCP SA,Consumer Discretionary,Specialty Retail,SMCP SA,PA,France
349,349,FR0005691656,EUR,FP,#N/A Field Not Applicable,Annual,TRI,Common Stock,TRIGANO SA,Consumer Discretionary,Automobiles,TRIGANO SA,PA,France
350,350,FR0011522168,EUR,FP,#N/A Field Not Applicable,None,ALDR,Common Stock,DELTA DRONE,Industrials,Aerospace & Defense,DELTA DRONE,PA,France
351,351,FR0011648716,EUR,FP,#N/A Field Not Applicable,None,ALCRB,Common Stock,CARBIOS,Materials,Chemicals,CARBIOS,PA,France
352,352,FR0004053510,EUR,FP,#N/A Field Not Applicable,None,ALGEN,Common Stock,GENOWAY SA,Health Care,Biotechnology,GENOWAY SA,PA,France
353,353,FR0000033219,EUR,FP,#N/A Field Not Applicable,Annual,ALTA,REIT,ALTAREA,Real Estate,Equity Real Estate Investment,ALTAREA,PA,France
354,354,FR0013233012,EUR,FP,#N/A Field Not Applicable,None,IVA,Common Stock,INVENTIVA SA,Health Care,Biotechnology,INVENTIVA SA,PA,France
355,355,FR0000044810,EUR,FP,#N/A Field Not Applicable,#N/A N/A,ALEUP,Common Stock,EUROPLASMA,Industrials,Commercial Services & Supplies,EUROPLASMA,PA,France
356,356,FR0010241638,EUR,FP,#N/A Field Not Applicable,Semi-Anl,MERY,REIT,MERCIALYS,Real Estate,Equity Real Estate Investment,MERCIALYS,PA,France
357,357,FR0013018124,EUR,FP,#N/A Field Not Applicable,None,COX,Common Stock,NICOX SA,Health Care,Biotechnology,NICOX SA,PA,France
358,358,FR0000060402,EUR,FP,#N/A Field Not Applicable,Annual,ABIO,Common Stock,ALBIOMA SA,Utilities,Independent Power and Renewabl,ALBIOMA SA,PA,France
359,359,FR0011398874,EUR,FP,#N/A Field Not Applicable,#N/A N/A,ALSPW,Common Stock,SPINEWAY,Health Care,Health Care Equipment & Suppli,SPINEWAY,PA,France
360,360,FR0004172450,EUR,FP,#N/A Field Not Applicable,Annual,ALBUD,Common Stock,MINT,Communication Services,Diversified Telecommunication,MINT,PA,France
361,361,FR0010313833,EUR,FP,#N/A Field Not Applicable,Annual,AKE,Common Stock,ARKEMA,Materials,Chemicals,ARKEMA,PA,France
362,362,FR0011049824,EUR,FP,#N/A Field Not Applicable,None,ALMDT,Common Stock,MEDIAN TECHNOLOGIES,Health Care,Health Care Technology,MEDIAN TECHNOLOG,PA,France
363,363,FR0012757854,EUR,FP,#N/A Field Not Applicable,Semi-Anl,SPIE,Common Stock,SPIE SA,Industrials,Commercial Services & Supplies,SPIE SA,PA,France
364,364,FR0004032746,EUR,FP,#N/A Field Not Applicable,None,ALNEV,Common Stock,NEOVACS,Health Care,Biotechnology,NEOVACS,PA,France
365,365,FR0013258399,EUR,FP,#N/A Field Not Applicable,None,BALYO,Common Stock,BALYO SA - PROMESSES,Industrials,Machinery,BALYO SA,PA,France
366,366,FR0000050809,EUR,FP,#N/A Field Not Applicable,Annual,SOP,Common Stock,SOPRA STERIA GROUP,Information Technology,IT Services,SOPRA STERIA GRO,PA,France
367,367,FR0000071946,EUR,FP,#N/A Field Not Applicable,Annual,ATE,Common Stock,ALTEN SA,Information Technology,IT Services,ALTEN,PA,France
368,368,FR0010307819,EUR,FP,#N/A Field Not Applicable,Annual,LR,Common Stock,LEGRAND SA,Industrials,Electrical Equipment,LEGRAND SA,PA,France
369,369,FR0000053225,EUR,FP,#N/A Field Not Applicable,Annual,MMT,Common Stock,M6-METROPOLE TELEVISION,Communication Services,Media,M6-METROPOLE TEL,PA,France
370,370,FR0011766229,EUR,FP,#N/A Field Not Applicable,None,ALONC,Common Stock,ONCODESIGN,Health Care,Biotechnology,ONCODESIGN,PA,France
371,371,FR0010533075,EUR,FP,#N/A Field Not Applicable,Annual,GET,Common Stock,GETLINK SE,Industrials,Transportation Infrastructure,GETLINK SE,PA,France
372,372,FR0012202497,EUR,FP,#N/A Field Not Applicable,Irreg,DGM,Common Stock,DIAGNOSTIC MEDICAL SYSTEMS,Health Care,Health Care Equipment & Suppli,DMS,PA,France
373,373,FR0010451203,EUR,FP,#N/A Field Not Applicable,Annual,RXL,Common Stock,REXEL SA,Industrials,Trading Companies & Distributo,REXEL SA,PA,France
374,374,FR0010291245,EUR,FP,#N/A Field Not Applicable,None,VMX,Common Stock,VERIMATRIX SA,Information Technology,Software,VERIMATRIX SA,PA,France
375,375,FR0000044448,EUR,FP,#N/A Field Not Applicable,Annual,NEX,Common Stock,NEXANS SA,Industrials,Electrical Equipment,NEXANS SA,PA,France
376,376,FR0013505062,EUR,FP,#N/A Field Not Applicable,Irreg,TCH,Common Stock,TECHNICOLOR - REGR,Communication Services,Entertainment,TECHNICOLOR-REGR,PA,France
377,377,FR0004125920,EUR,FP,#N/A Field Not Applicable,Annual,AMUN,Common Stock,AMUNDI SA,Financials,Capital Markets,AMUNDI SA,PA,France
378,378,FR0013341781,EUR,FP,#N/A Field Not Applicable,None,2CRSI,Common Stock,2CRSI SA,Information Technology,"Technology Hardware, Storage &",2CRSI SA,PA,France
379,379,FR0000073041,EUR,FP,#N/A Field Not Applicable,Annual,VAC,Common Stock,PIERRE & VACANCES,Consumer Discretionary,"Hotels, Restaurants & Leisure",PIERRE&VACANCES,PA,France
380,380,FR0000074072,EUR,FP,#N/A Field Not Applicable,Irreg,BIG,Common Stock,BIGBEN INTERACTIVE,Consumer Discretionary,Household Durables,BIGBEN INTERACTI,PA,France
381,381,BE0974310428,EUR,FP,#N/A Field Not Applicable,None,XFAB,Common Stock,X-FAB SILICON FOUNDRIES SE,Information Technology,Semiconductors & Semiconductor,X-FAB SILICON FO,PA,France
382,382,FR0010095596,EUR,FP,#N/A Field Not Applicable,None,ALONX,Common Stock,ONXEO,Health Care,Biotechnology,ONXEO,PA,France
383,383,FR0000051070,EUR,FP,#N/A Field Not Applicable,Irreg,MAU,Common Stock,MAUREL ET PROM,Energy,"Oil, Gas & Consumable Fuels",MAUREL ET PROM,PA,France
384,384,FR0000039620,EUR,FP,#N/A Field Not Applicable,Annual,MRN,Common Stock,MERSEN,Industrials,Electrical Equipment,MERSEN,PA,France
385,385,FR0011466069,EUR,FP,#N/A Field Not Applicable,None,EKI,Common Stock,EKINOPS,Information Technology,Communications Equipment,EKINOPS,PA,France
386,386,FR0010478248,EUR,FP,#N/A Field Not Applicable,None,ATA,Common Stock,ATARI SA,Communication Services,Entertainment,ATARI SA,PA,France
387,387,FR0000121204,EUR,FP,#N/A Field Not Applicable,Annual,MF,Common Stock,WENDEL,Financials,Diversified Financial Services,WENDEL,PA,France
388,388,FR0000031577,EUR,FP,#N/A Field Not Applicable,Irreg,VIRP,Common Stock,VIRBAC SA,Health Care,Pharmaceuticals,VIRBAC SA,PA,France
389,389,FR0000035081,EUR,FP,#N/A Field Not Applicable,Semi-Anl,ICAD,REIT,ICADE,Real Estate,Equity Real Estate Investment,ICADE,PA,France
390,390,FR0004188670,EUR,FP,#N/A Field Not Applicable,Annual,TKTT,Common Stock,TARKETT,Industrials,Building Products,TARKETT,PA,France
391,391,FR0004007813,EUR,FP,#N/A Field Not Applicable,Annual,KOF,Common Stock,KAUFMAN & BROAD SA,Consumer Discretionary,Household Durables,KAUFMAN & BROAD,PA,France
392,392,FR0000039299,EUR,FP,#N/A Field Not Applicable,Semi-Anl,BOL,Common Stock,BOLLORE,Communication Services,Entertainment,BOLLORE,PA,France
393,393,FR0000130395,EUR,FP,#N/A Field Not Applicable,Annual,RCO,Common Stock,REMY COINTREAU,Consumer Staples,Beverages,REMY COINTREAU,PA,France
394,394,FR0013088606,EUR,FP,#N/A Field Not Applicable,None,ALDRV,Common Stock,DRONE VOLT SACA,Information Technology,"Electronic Equipment, Instrume",DRONE VOLT SACA,PA,France
395,395,FR0000034639,EUR,FP,#N/A Field Not Applicable,Annual,ALT,Common Stock,ALTRAN TECHNOLOGIES SA,Information Technology,IT Services,ALTRAN TECH,PA,France
396,396,FR0004034072,EUR,FP,#N/A Field Not Applicable,None,XIL,Common Stock,XILAM ANIMATION,Communication Services,Entertainment,XILAM ANIMATION,PA,France
397,397,FR0000121121,EUR,FP,#N/A Field Not Applicable,Annual,RF,Common Stock,EURAZEO SE,Financials,Diversified Financial Services,EURAZEO SE,PA,France
398,398,FR0000032278,EUR,FP,#N/A Field Not Applicable,Annual,LAT,Common Stock,LATECOERE,Industrials,Aerospace & Defense,LATECOERE,PA,France
399,399,FR0004024222,EUR,FP,#N/A Field Not Applicable,Annual,ITP,Common Stock,INTERPARFUMS SA,Consumer Staples,Personal Products,INTERPARFUMS SA,PA,France
400,400,FR0000052623,EUR,FP,#N/A Field Not Applicable,Irreg,DEDAL,Common Stock,DEDALUS FRANCE SACA,Health Care,Health Care Technology,DEDALUS FRANCE S,PA,France
401,401,FR0000064784,EUR,FP,#N/A Field Not Applicable,Annual,PEUG,Common Stock,PEUGEOT INVEST,Financials,Diversified Financial Services,PEUGEOT INVEST,PA,France
402,402,FR0004040608,EUR,FP,#N/A Field Not Applicable,Quarter,ABCA,Common Stock,ABC ARBITRAGE,Financials,Diversified Financial Services,ABC ARBITRAGE,PA,France
403,403,FR0013286259,EUR,FP,#N/A Field Not Applicable,None,ALTHX,Common Stock,THERANEXUS SADIR,Health Care,Pharmaceuticals,THERANEXUS SADIR,PA,France
404,404,FR0000039091,EUR,FP,#N/A Field Not Applicable,Annual,RBT,Common Stock,ROBERTET SA,Materials,Chemicals,ROBERTET SA,PA,France
405,405,FR0000073298,EUR,FP,#N/A Field Not Applicable,Annual,IPS,Common Stock,IPSOS,Communication Services,Media,IPSOS,PA,France
406,406,NL0006294274,EUR,FP,#N/A Field Not Applicable,Annual,ENX,Common Stock,EURONEXT NV,Financials,Capital Markets,EURONEXT NV,PA,France
407,407,FR0004180578,EUR,FP,#N/A Field Not Applicable,Annual,SWP,Common Stock,SWORD GROUP,Information Technology,IT Services,SWORD GROUP,PA,France
408,408,FR0011532225,EUR,FP,#N/A Field Not Applicable,None,ALVGO,Common Stock,VOGO SACA,Information Technology,Software,VOGO SACA,PA,France
409,409,FR0011665280,EUR,FP,#N/A Field Not Applicable,#N/A N/A,FGA,Common Stock,FIGEAC-AERO,Industrials,Aerospace & Defense,FIGEAC-AERO,PA,France
410,410,FR0010040865,EUR,FP,#N/A Field Not Applicable,Semi-Anl,GFC,REIT,GECINA SA,Real Estate,Equity Real Estate Investment,GECINA SA,PA,France
411,411,FR0010907956,EUR,FP,#N/A Field Not Applicable,None,ALCAR,Common Stock,CARMAT,Health Care,Health Care Equipment & Suppli,CARMAT,PA,France
412,412,FR0011950682,EUR,FP,#N/A Field Not Applicable,Annual,SEFER,Common Stock,SERGE FERRARI GROUP,Materials,Chemicals,SERGE FERRARI GR,PA,France
413,413,FR0000031775,EUR,FP,#N/A Field Not Applicable,Annual,VCT,Common Stock,VICAT,Materials,Construction Materials,VICAT,PA,France
414,414,FR0000079634,EUR,FP,#N/A Field Not Applicable,Irreg,ALGEC,Common Stock,GECI INTERNATIONAL,Industrials,Professional Services,GECI INTERNATION,PA,France
415,415,FR0013505583,EUR,FP,#N/A Field Not Applicable,Annual,ALCYB,Common Stock,CYBERGUN SA,Consumer Discretionary,Leisure Products,CYBERGUN SA,PA,France
416,416,FR0013258662,EUR,FP,#N/A Field Not Applicable,Annual,ALD,Common Stock,ALD SA,Industrials,Road & Rail,ALD SA,PA,France
417,417,FR0010040865,EUR,FP,#N/A Field Not Applicable,Semi-Anl,GFC,REIT,GECINA SA,Real Estate,Equity Real Estate Investment,GECINA SA,PA,France
418,418,FR0013252186,EUR,FP,#N/A Field Not Applicable,Annual,PVL,Common Stock,PLASTIVALOIRE,Materials,Chemicals,PLASTIVALOIRE,PA,France
419,419,FR0000035164,EUR,FP,#N/A Field Not Applicable,Annual,BEN,Common Stock,BENETEAU,Consumer Discretionary,Leisure Products,BENETEAU,PA,France
420,420,FR0000035370,EUR,FP,#N/A Field Not Applicable,Annual,BLC,Common Stock,BASTIDE LE CONFORT MEDICAL,Health Care,Health Care Providers & Servic,BASTIDE,PA,France
421,421,FR0000053381,EUR,FP,#N/A Field Not Applicable,Annual,DBG,Common Stock,DERICHEBOURG,Industrials,Commercial Services & Supplies,DERICHEBOURG,PA,France
422,422,FR0011950641,EUR,FP,#N/A Field Not Applicable,None,ALPIX,Common Stock,PIXIUM VISION SA,Health Care,Health Care Equipment & Suppli,PIXIUM VISIO,PA,France
423,423,FR0010879056,EUR,FP,#N/A Field Not Applicable,None,ALDEI,Common Stock,DEINOVE,Materials,Chemicals,DEINOVE,PA,France
424,424,FR0010828137,EUR,FP,#N/A Field Not Applicable,Annual,CARM,REIT,CARMILA,Real Estate,Equity Real Estate Investment,CARMILA,PA,France
425,425,FR0000035818,EUR,FP,#N/A Field Not Applicable,Annual,ALESK,Common Stock,ESKER SA,Information Technology,Software,ESKER SA,PA,France
426,426,FR0011271600,EUR,FP,#N/A Field Not Applicable,None,FALG,Common Stock,FERMENTALG,Materials,Chemicals,FERMENTALG,PA,France
427,427,FR0005175080,EUR,FP,#N/A Field Not Applicable,None,TNG,Common Stock,TRANSGENE SA,Health Care,Biotechnology,TRANSGENE SA,PA,France
428,428,BE0974302342,EUR,FP,#N/A Field Not Applicable,None,ALPHS,Common Stock,PHARMASIMPLE,Consumer Discretionary,Internet & Direct Marketing Re,PHARMASIMPLE,PA,France
429,429,FR0004170017,EUR,FP,#N/A Field Not Applicable,Annual,LNA,Common Stock,LNA SANTE,Health Care,Health Care Providers & Servic,LNA SANTE,PA,France
430,430,FR0010377127,EUR,FP,#N/A Field Not Applicable,None,ALDIE,Common Stock,DIETSWELL,Energy,Energy Equipment & Services,DIETSWELL,PA,France
431,431,FR0012419307,EUR,FP,#N/A Field Not Applicable,Annual,ALFOC,Common Stock,FOCUS HOME INTERACTIVE,Communication Services,Entertainment,FOCUS HOME INTER,PA,France
432,432,FR0000120966,EUR,FP,#N/A Field Not Applicable,Annual,BB,Common Stock,SOCIETE BIC SA,Industrials,Commercial Services & Supplies,BIC,PA,France
433,433,FR0000120560,EUR,FP,#N/A Field Not Applicable,Annual,QDT,Common Stock,QUADIENT SA,Information Technology,"Technology Hardware, Storage &",QUADIENT SA,PA,France
434,434,FR0004172450,EUR,FP,#N/A Field Not Applicable,Annual,ALBUD,Common Stock,MINT,Communication Services,Diversified Telecommunication,MINT,PA,France
435,435,CH0012214059,CHF,SW,#N/A Field Not Applicable,Annual,HOLN,Common Stock,HOLCIM LTD,Materials,Construction Materials,HOLCIM LTD,SW,Switzerland
436,436,FR0013482791,EUR,FP,#N/A Field Not Applicable,None,NACON,Common Stock,NACON SA,Consumer Discretionary,Household Durables,NACON SA,PA,France
437,437,FR0006174348,EUR,FP,#N/A Field Not Applicable,Annual,BVI,Common Stock,BUREAU VERITAS SA,Industrials,Professional Services,BUREAU VERITAS S,PA,France
438,438,FR0011584549,EUR,FP,#N/A Field Not Applicable,None,ALMND,Common Stock,MND,Consumer Discretionary,Leisure Products,MND,PA,France
439,439,FR0000031684,EUR,FP,#N/A Field Not Applicable,Annual,ROTH,Common Stock,ROTHSCHILD & CO,Financials,Capital Markets,ROTHSCHILD & CO,PA,France
440,440,FR0000075442,EUR,FP,#N/A Field Not Applicable,Irreg,ALLDL,Common Stock,GROUPE LDLC,Consumer Discretionary,Internet & Direct Marketing Re,GROUPE LDLC,PA,France
441,441,FR0000073793,EUR,FP,#N/A Field Not Applicable,Annual,DVT,Common Stock,DEVOTEAM SA,Information Technology,IT Services,DEVOTEAM SA,PA,France
442,442,FR0012882389,EUR,FP,#N/A Field Not Applicable,Annual,PHA,Common Stock,PHARMAGEST INTERACTIVE,Health Care,Health Care Technology,PHARMAGEST INTER,PA,France
443,443,FR0013006558,EUR,FP,#N/A Field Not Applicable,None,SRP,Common Stock,SHOWROOMPRIVE,Consumer Discretionary,Internet & Direct Marketing Re,SHOWROOMPRIVE,PA,France
444,444,FR0000050353,EUR,FP,#N/A Field Not Applicable,Annual,FII,Common Stock,LISI,Industrials,Aerospace & Defense,LISI,PA,France
445,445,FR0013254851,EUR,FP,#N/A Field Not Applicable,None,ALVAL,Common Stock,VALBIOTIS SAS,Health Care,Biotechnology,VALBIOTIS SAS,PA,France
446,446,FR0010485268,EUR,FP,#N/A Field Not Applicable,Annual,ALFPC,Common Stock,FOUNTAINE PAJOT SA,Consumer Discretionary,Leisure Products,FOUNTAINE PAJOT,PA,France
447,447,FR0000038242,EUR,FP,#N/A Field Not Applicable,Irreg,LBIRD,Common Stock,LUMIBIRD,Information Technology,"Electronic Equipment, Instrume",LUMIBIRD,PA,France
448,448,FR0000066672,EUR,FP,#N/A Field Not Applicable,Annual,GLO,Common Stock,GL EVENTS,Industrials,Commercial Services & Supplies,GL EVENTS,PA,France
449,449,FR0000077919,EUR,FP,#N/A Field Not Applicable,Annual,DEC,Common Stock,JCDECAUX SA,Communication Services,Media,JCDECAUX SA,PA,France
450,450,FR0011464452,EUR,FP,#N/A Field Not Applicable,#N/A N/A,ALSGD,Common Stock,SPINEGUARD SA,Health Care,Health Care Equipment & Suppli,SPINEGUARD,PA,France
451,451,FR0000182479,EUR,FP,#N/A Field Not Applicable,None,ALJXR,Common Stock,ARCHOS,Information Technology,"Technology Hardware, Storage &",ARCHOS,PA,France
452,452,FR0010353888,EUR,FP,#N/A Field Not Applicable,None,ALMDG,Common Stock,MGI DIGITAL GRAPHIC TECHNOLO,Information Technology,"Technology Hardware, Storage &",MGI DIGITAL GRAP,PA,France
453,453,FR0013447729,EUR,FP,#N/A Field Not Applicable,Irreg,VRLA,Common Stock,VERALLIA,Materials,Containers & Packaging,VERALLIA,PA,France
454,454,GB0005405286,GBp,LN,#N/A Field Not Applicable,Irreg,HSBA,Common Stock,HSBC HOLDINGS PLC,Financials,Banks,HSBC HOLDINGS PL,LSE,United Kingdom
455,455,FR0013467123,EUR,FP,#N/A Field Not Applicable,None,ALSAF,Common Stock,SAFE ORTHOPAEDICS SA,Health Care,Health Care Equipment & Suppli,SAFE ORTHOPAEDIC,PA,France
456,456,FR0000063935,EUR,FP,#N/A Field Not Applicable,Annual,BON,Common Stock,BONDUELLE SCA,Consumer Staples,Food Products,BONDUELLE SCA,PA,France
457,457,NL0000852564,EUR,NA,#N/A Field Not Applicable,Annual,AALB,Common Stock,AALBERTS NV,Industrials,Machinery,AALBERTS NV,AS,The Netherlands
458,458,NL0011540547,EUR,NA,#N/A Field Not Applicable,Semi-Anl,ABN,Dutch Cert,ABN AMRO BANK NV-CVA,Financials,Banks,ABN AMRO BANK-CV,AS,The Netherlands
459,459,NL0012969182,EUR,NA,#N/A Field Not Applicable,None,ADYEN,Common Stock,ADYEN NV,Information Technology,IT Services,ADYEN NV,AS,The Netherlands
460,460,NL0000303709,EUR,NA,#N/A Field Not Applicable,Semi-Anl,AGN,Common Stock,AEGON NV,Financials,Insurance,AEGON NV,AS,The Netherlands
461,461,NL0011794037,EUR,NA,#N/A Field Not Applicable,Semi-Anl,AD,Common Stock,KONINKLIJKE AHOLD DELHAIZE N,Consumer Staples,Food & Staples Retailing,KONINKLIJKE AHOL,AS,The Netherlands
462,462,NL0013267909,EUR,NA,#N/A Field Not Applicable,Semi-Anl,AKZA,Common Stock,AKZO NOBEL N.V.,Materials,Chemicals,AKZO NOBEL,AS,The Netherlands
463,463,NL0011333760,EUR,NA,#N/A Field Not Applicable,None,ATCB,Common Stock,ALTICE EUROPE NV - B,Communication Services,Diversified Telecommunication,ALTICE EUROPE -B,AS,The Netherlands
464,464,LU0569974404,EUR,NA,#N/A Field Not Applicable,Quarter,APAM,Common Stock,APERAM,Materials,Metals & Mining,APERAM,AS,The Netherlands
465,465,NL0006237562,EUR,NA,#N/A Field Not Applicable,Annual,ARCAD,Common Stock,ARCADIS NV,Industrials,Construction & Engineering,ARCADIS NV,AS,The Netherlands
466,466,LU1598757687,EUR,NA,#N/A Field Not Applicable,Annual,MT,Common Stock,ARCELORMITTAL,Materials,Metals & Mining,ARCELORMITTAL,AS,The Netherlands
467,467,NL0000334118,EUR,NA,#N/A Field Not Applicable,Irreg,ASM,Common Stock,ASM INTERNATIONAL NV,Information Technology,Semiconductors & Semiconductor,ASM INTL NV,AS,The Netherlands
468,468,NL0010273215,EUR,NA,#N/A Field Not Applicable,Semi-Anl,ASML,Common Stock,ASML HOLDING NV,Information Technology,Semiconductors & Semiconductor,ASML HOLDING NV,AS,The Netherlands
469,469,NL0011872650,EUR,NA,#N/A Field Not Applicable,None,BFIT,Common Stock,BASIC-FIT NV,Consumer Discretionary,"Hotels, Restaurants & Leisure",BASIC-FIT NV,AS,The Netherlands
470,470,NL0012866412,EUR,NA,#N/A Field Not Applicable,Annual,BESI,Common Stock,BE SEMICONDUCTOR INDUSTRIES,Information Technology,Semiconductors & Semiconductor,BE SEMICONDUCTOR,AS,The Netherlands
471,471,NL0000852580,EUR,NA,#N/A Field Not Applicable,Annual,BOKA,Common Stock,BOSKALIS WESTMINSTER,Industrials,Construction & Engineering,BOSKALIS WESTMIN,AS,The Netherlands
472,472,NL0010583399,EUR,NA,#N/A Field Not Applicable,Annual,CRBN,Common Stock,CORBION NV,Materials,Chemicals,CORBION NV,AS,The Netherlands
