,ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN.1,ExchangeCode,logo
285,US4851703029,KSU,Kansas City Southern,USA,NYSE,USD,Common Stock,US4851703029,US,/img/logos/US/KSU.png
286,US5404241086,L,Loews Corporation,USA,NYSE,USD,Common Stock,US5404241086,US,/img/logos/US/L.png
287,US5017971046,LB,"L Brands, Inc",USA,NYSE,USD,Common Stock,US5017971046,US,/img/logos/US/LB.png
288,GB00B8W67B19,LBTYK,Liberty Global plc,USA,NASDAQ,USD,Common Stock,GB00B8W67B19,US,/img/logos/US/LBTYK.png
289,US5246601075,LEG,"Leggett & Platt, Incorporated",USA,NYSE,USD,Common Stock,US5246601075,US,/img/logos/US/leg.png
290,US5260571048,LEN,Lennar Corporation,USA,NYSE,USD,Common Stock,US5260571048,US,/img/logos/US/LEN.png
291,FR0010307819,LGRVF,Legrand SA,USA,PINK,USD,Common Stock,FR0010307819,US,/img/logos/US/LGRVF.png
292,US50540R4092,LH,Laboratory Corporation of America Holdings,USA,NYSE,USD,Common Stock,US50540R4092,US,/img/logos/US/LH.png
293,IE00BZ12WP82,LIN,Linde plc,USA,NYSE,USD,Common Stock,IE00BZ12WP82,US,/img/logos/US/LIN.png
294,US5324571083,LLY,Eli Lilly and Company,USA,NYSE,USD,Common Stock,US5324571083,US,/img/logos/US/LLY.png
295,US5398301094,LMT,Lockheed Martin Corporation,USA,NYSE,USD,Common Stock,US5398301094,US,/img/logos/US/lmt.png
296,US5341871094,LNC,Lincoln National Corporation,USA,NYSE,USD,Common Stock,US5341871094,US,/img/logos/US/LNC.png
297,US5486611073,LOW,"Lowe's Companies, Inc",USA,NYSE,USD,Common Stock,US5486611073,US,/img/logos/US/LOW.png
298,US5128071082,LRCX,Lam Research Corporation,USA,NASDAQ,USD,Common Stock,US5128071082,US,/img/logos/US/lrcx.png
299,US5500211090,LULU,Lululemon Athletica Inc,USA,NASDAQ,USD,Common Stock,US5500211090,US,/img/logos/US/lulu.png
300,US8447411088,LUV,Southwest Airlines Co,USA,NYSE,USD,Common Stock,US8447411088,US,/img/logos/US/luv.png
301,US55087P1049,LYFT,"Lyft, Inc",USA,NASDAQ,USD,Common Stock,US55087P1049,US,/img/logos/US/LYFT.png
302,US55616P1049,M,"Macy's, Inc",USA,NYSE,USD,Common Stock,US55616P1049,US,/img/logos/US/m.png
303,US57636Q1040,MA,Mastercard Incorporated,USA,NYSE,USD,Common Stock,US57636Q1040,US,/img/logos/US/ma.png
304,US5719032022,MAR,"Marriott International, Inc",USA,NASDAQ,USD,Common Stock,US5719032022,US,/img/logos/US/MAR.png
305,US5745991068,MAS,Masco Corporation,USA,NYSE,USD,Common Stock,US5745991068,US,/img/logos/US/mas.png
306,US5770811025,MAT,"Mattel, Inc",USA,NASDAQ,USD,Common Stock,US5770811025,US,/img/logos/US/MAT.png
307,US5801351017,MCD,McDonald's Corporation,USA,NYSE,USD,Common Stock,US5801351017,US,/img/logos/US/MCD.png
308,US5950171042,MCHP,Microchip Technology Incorporated,USA,NASDAQ,USD,Common Stock,US5950171042,US,/img/logos/US/MCHP.png
309,US58155Q1031,MCK,McKesson Corporation,USA,NYSE,USD,Common Stock,US58155Q1031,US,/img/logos/US/mck.png
310,US6153691059,MCO,Moody's Corporation,USA,NYSE,USD,Common Stock,US6153691059,US,/img/logos/US/MCO.png
311,US6092071058,MDLZ,"Mondelez International, Inc",USA,NASDAQ,USD,Common Stock,US6092071058,US,/img/logos/US/mdlz.png
312,US59156R1086,MET,"MetLife, Inc",USA,NYSE,USD,Common Stock,US59156R1086,US,/img/logos/US/MET.png
313,US55272X1028,MFA,"MFA Financial, Inc",USA,NYSE,USD,Common Stock,US55272X1028,US,/img/logos/US/MFo.png
314,CA56501R1064,MFC,Manulife Financial Corporation,USA,NYSE,USD,Common Stock,CA56501R1064,US,/img/logos/US/MFC.png
315,CA5592224011,MGA,Magna International Inc,USA,NYSE,USD,Common Stock,CA5592224011,US,/img/logos/US/MGA.png
316,US5529531015,MGM,MGM Resorts International,USA,NYSE,USD,Common Stock,US5529531015,US,/img/logos/US/mgm.png
317,US6081901042,MHK,"Mohawk Industries, Inc",USA,NYSE,USD,Common Stock,US6081901042,US,/img/logos/US/mhk.png
318,US5797802064,MKC,"McCormick & Company, Incorporated",USA,NYSE,USD,Common Stock,US5797802064,US,/img/logos/US/mkc.png
319,US5732841060,MLM,"Martin Marietta Materials, Inc",USA,NYSE,USD,Common Stock,US5732841060,US,/img/logos/US/MLM.png
320,US5717481023,MMC,"Marsh & McLennan Companies, Inc",USA,NYSE,USD,Common Stock,US5717481023,US,/img/logos/US/mmc.png
321,US61174X1090,MNST,Monster Beverage Corporation,USA,NASDAQ,USD,Common Stock,US61174X1090,US,/img/logos/US/mnst.png
322,US02209S1033,MO,"Altria Group, Inc",USA,NYSE,USD,Common Stock,US02209S1033,US,/img/logos/US/mo.png
323,US61945C1036,MOS,The Mosaic Company,USA,NYSE,USD,Common Stock,US61945C1036,US,/img/logos/US/MOS.png
324,US56585A1025,MPC,Marathon Petroleum Corporation,USA,NYSE,USD,Common Stock,US56585A1025,US,/img/logos/US/MPC.png
325,DE0006599905,MRK,"Merck & Co., Inc",USA,NYSE,USD,Common Stock,DE0006599905,US,/img/logos/US/mrk.png
326,US60770K1079,MRNA,"Moderna, Inc",USA,NASDAQ,USD,Common Stock,US60770K1079,US,/img/logos/US/MRNA.png
327,US5658491064,MRO,Marathon Oil Corporation,USA,NYSE,USD,Common Stock,US5658491064,US,/img/logos/US/mro.png
328,GB0006043169,MRWSF,Wm Morrison Supermarkets PLC,USA,PINK,USD,Common Stock,GB0006043169,US,
329,US6174464486,MS,Morgan Stanley,USA,NYSE,USD,Common Stock,US6174464486,US,/img/logos/US/ms.png
330,US5949181045,MSFT,Microsoft Corporation,USA,NASDAQ,USD,Common Stock,US5949181045,US,/img/logos/US/MSFT.png
331,US6200763075,MSI,"Motorola Solutions, Inc",USA,NYSE,USD,Common Stock,US6200763075,US,/img/logos/US/MSI.png
332,US55261F1049,MTB,M&T Bank Corporation,USA,NYSE,USD,Common Stock,US55261F1049,US,/img/logos/US/mtb.png
333,US5951121038,MU,"Micron Technology, Inc",USA,NASDAQ,USD,Common Stock,US5951121038,US,/img/logos/US/mu.png
334,US6267171022,MUR,Murphy Oil Corporation,USA,NYSE,USD,Common Stock,US6267171022,US,/img/logos/US/mur.png
335,US57772K1016,MXIM,"Maxim Integrated Products, Inc",USA,NASDAQ,USD,Common Stock,US57772K1016,US,/img/logos/US/MXIM.png
336,BMG667211046,NCLH,Norwegian Cruise Line Holdings Ltd,USA,NYSE,USD,Common Stock,BMG667211046,US,/img/logos/US/NCLH.png
337,US6311031081,NDAQ,"Nasdaq, Inc",USA,NASDAQ,USD,Common Stock,US6311031081,US,/img/logos/US/ndaq.png
338,US65339F1012,NEE,"NextEra Energy, Inc",USA,NYSE,USD,Common Stock,US65339F1012,US,/img/logos/US/nee.png
339,US6516391066,NEM,Newmont Corporation,USA,NYSE,USD,Common Stock,US6516391066,US,/img/logos/US/Nem.png
340,US64110L1061,NFLX,"Netflix, Inc",USA,NASDAQ,USD,Common Stock,US64110L1061,US,/img/logos/US/nflx.png
341,US65473P1057,NI,NiSource Inc,USA,NYSE,USD,Common Stock,US65473P1057,US,/img/logos/US/ni.png
342,US62914V1061,NIO,NIO Inc,USA,NYSE,USD,Common Stock,US62914V1061,US,/img/logos/US/NIO.png
343,US6541061031,NKE,"NIKE, Inc",USA,NYSE,USD,Common Stock,US6541061031,US,/img/logos/US/nke.png
344,US6541101050,NKLA,Nikola Corporation,USA,NASDAQ,USD,Common Stock,US6541101050,US,/img/logos/US/NKLA.png
345,US6293775085,NRG,"NRG Energy, Inc",USA,NYSE,USD,Common Stock,US6293775085,US,/img/logos/US/NRG.png
346,US64828T2015,NRZ,New Residential Investment Corp,USA,NYSE,USD,Common Stock,US64828T2015,US,/img/logos/US/NRZ.png
347,US6558441084,NSC,Norfolk Southern Corporation,USA,NYSE,USD,Common Stock,US6558441084,US,/img/logos/US/NSC.png
348,CH0038863350,NSRGF,Nestlé S.A,USA,PINK,USD,Common Stock,CH0038863350,US,/img/logos/US/NSRGF.png
349,US64110D1046,NTAP,"NetApp, Inc",USA,NASDAQ,USD,Common Stock,US64110D1046,US,/img/logos/US/NTAP.png
350,CA6330671034,NTIOF,National Bank of Canada,USA,PINK,USD,Common Stock,CA6330671034,US,/img/logos/US/NTIOF.png
351,CA67077M1086,NTR,Nutrien Ltd,USA,NYSE,USD,Common Stock,CA67077M1086,US,/img/logos/US/NTR.png
352,US6658591044,NTRS,Northern Trust Corporation,USA,NASDAQ,USD,Common Stock,US6658591044,US,/img/logos/US/ntrs.png
353,US6703461052,NUE,Nucor Corporation,USA,NYSE,USD,Common Stock,US6703461052,US,/img/logos/US/NUE.png
354,US67066G1040,NVDA,NVIDIA Corporation,USA,NASDAQ,USD,Common Stock,US67066G1040,US,/img/logos/US/NVDA.png
355,CH0012005267,NVSEF,Novartis AG,USA,PINK,USD,Common Stock,CH0012005267,US,/img/logos/US/NVSEF.png
356,US6512291062,NWL,Newell Brands Inc,USA,NASDAQ,USD,Common Stock,US6512291062,US,/img/logos/US/NWL.png
357,US65249B1098,NWSA,News Corporation,USA,NASDAQ,USD,Common Stock,US65249B1098,US,/img/logos/US/NWS.png
358,US6496045013,NYMT,"New York Mortgage Trust, Inc",USA,NASDAQ,USD,Common Stock,US6496045013,US,/img/logos/US/NYMT.PNG
359,US7561091049,O,Realty Income Corporation,USA,NYSE,USD,Common Stock,US7561091049,US,/img/logos/US/o.png
360,US6826801036,OKE,"ONEOK, Inc",USA,NYSE,USD,Common Stock,US6826801036,US,/img/logos/US/OKE.png
361,US6819191064,OMC,Omnicom Group Inc,USA,NYSE,USD,Common Stock,US6819191064,US,/img/logos/US/OMC.png
362,US68389X1054,ORCL,Oracle Corporation,USA,NYSE,USD,Common Stock,US68389X1054,US,/img/logos/US/orcl.png
363,US67103H1077,ORLY,"O'Reilly Automotive, Inc",USA,NASDAQ,USD,Common Stock,US67103H1077,US,/img/logos/US/ORLY.png
364,CA6837151068,OTEX,Open Text Corporation,USA,NASDAQ,USD,Common Stock,CA6837151068,US,/img/logos/US/otex.png
365,US6745991058,OXY,Occidental Petroleum Corporation,USA,NYSE,USD,Common Stock,US6745991058,US,/img/logos/US/OXY.png
366,US7043261079,PAYX,"Paychex, Inc",USA,NASDAQ,USD,Common Stock,US7043261079,US,/img/logos/US/PAYX.png
367,CA7063271034,PBA,Pembina Pipeline Corporation,USA,NYSE,USD,Common Stock,CA7063271034,US,/img/logos/US/pba.png
368,US7127041058,PBCT,"People's United Financial, Inc",USA,NASDAQ,USD,Common Stock,US7127041058,US,/img/logos/US/pbct.png
369,US6937181088,PCAR,PACCAR Inc,USA,NASDAQ,USD,Common Stock,US6937181088,US,/img/logos/US/PCAR.png
370,US7445731067,PEG,Public Service Enterprise Group Incorporated,USA,NYSE,USD,Common Stock,US7445731067,US,/img/logos/US/peg.png
371,US7075691094,PENN,"Penn National Gaming, Inc",USA,NASDAQ,USD,Common Stock,US7075691094,US,/img/logos/US/penn.png
372,US7134481081,PEP,"PepsiCo, Inc",USA,NASDAQ,USD,Common Stock,US7134481081,US,/img/logos/US/pep.png
373,US7170811035,PFE,Pfizer Inc,USA,NYSE,USD,Common Stock,US7170811035,US,/img/logos/US/pfe.png
374,US7427181091,PG,The Procter & Gamble Company,USA,NYSE,USD,Common Stock,US7427181091,US,/img/logos/US/PG.png
375,US7433151039,PGR,The Progressive Corporation,USA,NYSE,USD,Common Stock,US7433151039,US,/img/logos/US/pgr.png
376,US7010941042,PH,Parker-Hannifin Corporation,USA,NYSE,USD,Common Stock,US7010941042,US,/img/logos/US/PH.png
377,US7458671010,PHM,"PulteGroup, Inc",USA,NYSE,USD,Common Stock,US7458671010,US,/img/logos/US/phm.png
378,US72352L1061,PINS,"Pinterest, Inc",USA,NYSE,USD,Common Stock,US72352L1061,US,/img/logos/US/PINS.png
379,US7140461093,PKI,"PerkinElmer, Inc",USA,NYSE,USD,Common Stock,US7140461093,US,/img/logos/US/PKI.png
380,US2383371091,PLAY,"Dave & Buster's Entertainment, Inc",USA,NASDAQ,USD,Common Stock,US2383371091,US,/img/logos/US/PLAY.png
381,US74340W1036,PLD,"Prologis, Inc",USA,NYSE,USD,Common Stock,US74340W1036,US,/img/logos/US/pld.png
382,US72919P2020,PLUG,Plug Power Inc,USA,NASDAQ,USD,Common Stock,US72919P2020,US,/img/logos/US/plug.png
383,US7181721090,PM,Philip Morris International Inc,USA,NYSE,USD,Common Stock,US7181721090,US,/img/logos/US/PM.png
384,US6934751057,PNC,"The PNC Financial Services Group, Inc",USA,NYSE,USD,Common Stock,US6934751057,US,/img/logos/US/pnc.png
385,US7234841010,PNW,Pinnacle West Capital Corporation,USA,NYSE,USD,Common Stock,US7234841010,US,/img/logos/US/PNW.png
386,JE00B6T5S470,POYYF,Polymetal International plc,USA,PINK,USD,Common Stock,JE00B6T5S470,US,
387,US6935061076,PPG,"PPG Industries, Inc",USA,NYSE,USD,Common Stock,US6935061076,US,/img/logos/US/PPG.png
388,US7443201022,PRU,"Prudential Financial, Inc",USA,NYSE,USD,Common Stock,US7443201022,US,/img/logos/US/PRU.png
389,US74460D1090,PSA,Public Storage,USA,NYSE,USD,Common Stock,US74460D1090,US,/img/logos/US/PSA.png
390,US7185461040,PSX,Phillips 66,USA,NYSE,USD,Common Stock,US7185461040,US,/img/logos/US/PSX.png
391,US70614W1009,PTON,"Peloton Interactive, Inc",USA,NASDAQ,USD,Common Stock,US70614W1009,US,/img/logos/US/PTON.png
392,US6936561009,PVH,PVH Corp,USA,NYSE,USD,Common Stock,US6936561009,US,/img/logos/US/pvh.PNG
393,US74762E1029,PWR,"Quanta Services, Inc",USA,NYSE,USD,Common Stock,US74762E1029,US,/img/logos/US/PWR.png
394,US7237871071,PXD,Pioneer Natural Resources Company,USA,NYSE,USD,Common Stock,US7237871071,US,/img/logos/US/pxd.png
395,US70450Y1038,PYPL,"PayPal Holdings, Inc",USA,NASDAQ,USD,Common Stock,US70450Y1038,US,/img/logos/US/pypl.png
396,US7475251036,QCOM,QUALCOMM Incorporated,USA,NASDAQ,USD,Common Stock,US7475251036,US,/img/logos/US/QCOM.png
397,NL0012169213,QGEN,QIAGEN N.V,USA,NYSE,USD,Common Stock,NL0012169213,US,/img/logos/US/QGEN.png
398,US74736K1016,QRVO,"Qorvo, Inc",USA,NASDAQ,USD,Common Stock,US74736K1016,US,/img/logos/US/QRVO.png
399,CA76131D1033,QSR,Restaurant Brands International Inc,USA,NYSE,USD,Common Stock,CA76131D1033,US,/img/logos/US/QSR.png
400,US7835491082,R,"Ryder System, Inc",USA,NYSE,USD,Common Stock,US7835491082,US,/img/logos/US/R.png
401,NL0011585146,RACE,Ferrari N.V,USA,NYSE,USD,Common Stock,NL0011585146,US,/img/logos/US/RACE.png
402,GB00B24CGK77,RBGPF,Reckitt Benckiser Group plc,USA,PINK,USD,Common Stock,GB00B24CGK77,US,/img/logos/US/rbgpf.png
403,GB00B7T77214,RBSPF,NatWest Group plc,USA,PINK,USD,Common Stock,GB00B7T77214,US,/img/logos/US/RBSPF.png
404,CA7751092007,RCI,Rogers Communications Inc,USA,NYSE,USD,Common Stock,CA7751092007,US,/img/logos/US/RCI.png
405,LR0008862868,RCL,Royal Caribbean Group,USA,NYSE,USD,Common Stock,LR0008862868,US,/img/logos/US/rcl.png
406,ES0173093024,RDEIF,"Red Eléctrica Corporación, S.A",USA,OTCGREY,USD,Common Stock,ES0173093024,US,/img/logos/US/RDEIF.png
407,BMG3223R1088,RE,"Everest Re Group, Ltd",USA,NYSE,USD,Common Stock,BMG3223R1088,US,/img/logos/US/re.png
408,US7588491032,REG,Regency Centers Corporation,USA,NASDAQ,USD,Common Stock,US7588491032,US,/img/logos/US/REG.png
409,US7591EP1005,RF,Regions Financial Corporation,USA,NYSE,USD,Common Stock,US7591EP1005,US,/img/logos/US/rf.png
410,CH0012032048,RHHVF,Roche Holding AG,USA,OTCQX,USD,Common Stock,CH0012032048,US,/img/logos/US/RHHVF.png
411,US7703231032,RHI,Robert Half International Inc,USA,NYSE,USD,Common Stock,US7703231032,US,/img/logos/US/RHI.png
412,US7512121010,RL,Ralph Lauren Corporation,USA,NYSE,USD,Common Stock,US7512121010,US,/img/logos/US/rl.png
413,US7739031091,ROK,"Rockwell Automation, Inc",USA,NYSE,USD,Common Stock,US7739031091,US,/img/logos/US/ROK.png
414,US77543R1023,ROKU,"Roku, Inc",USA,NASDAQ,USD,Common Stock,US77543R1023,US,/img/logos/US/ROKU.png
415,US7766961061,ROP,"Roper Technologies, Inc",USA,NYSE,USD,Common Stock,US7766961061,US,/img/logos/US/ROP.png
416,US7782961038,ROST,"Ross Stores, Inc",USA,NASDAQ,USD,Common Stock,US7782961038,US,/img/logos/US/Rost.png
417,US75281A1097,RRC,Range Resources Corporation,USA,NYSE,USD,Common Stock,US75281A1097,US,/img/logos/US/rrc.png
418,US7607591002,RSG,"Republic Services, Inc",USA,NYSE,USD,Common Stock,US7607591002,US,/img/logos/US/RSG.png
419,CA7800871021,RY,Royal Bank of Canada,USA,NYSE,USD,Common Stock,CA7800871021,US,/img/logos/US/RY.png
420,GB00B03MLX29,RYDAF,Royal Dutch Shell plc,USA,PINK,USD,Common Stock,GB00B03MLX29,US,/img/logos/US/RYDAF.png
421,FR0000073272,SAFRF,Safran SA,USA,PINK,USD,Common Stock,FR0000073272,US,/img/logos/US/SAFRF.png
422,DE0007164600,SAPGF,SAP SE,USA,PINK,USD,Common Stock,DE0007164600,US,/img/logos/US/SAPGF.png
423,NL0000360618,SBFFF,SBM Offshore N.V,USA,PINK,USD,Common Stock,NL0000360618,US,/img/logos/US/SBFFF.png
424,FR0000121972,SBGSF,Schneider Electric S.E,USA,PINK,USD,Common Stock,FR0000121972,US,/img/logos/US/SBGSF.png
425,US8552441094,SBUX,Starbucks Corporation,USA,NASDAQ,USD,Common Stock,US8552441094,US,/img/logos/US/SBUX.png
426,GB0004082847,SCBFF,Standard Chartered PLC,USA,PINK,USD,Common Stock,GB0004082847,US,/img/logos/US/SCBFF.png
427,US8085131055,SCHW,The Charles Schwab Corporation,USA,NYSE,USD,Common Stock,US8085131055,US,/img/logos/US/schw.png
428,FR0000121220,SDXOF,Sodexo S.A,USA,PINK,USD,Common Stock,FR0000121220,US,/img/logos/US/SDXOF.png
429,MHY737601945,SHIP,Seanergy Maritime Holdings Corp,USA,NASDAQ,USD,Common Stock,MHY737601945,US,/img/logos/US/SHIP.png
430,CA82509L1076,SHOP,Shopify Inc,USA,NYSE,USD,Common Stock,CA82509L1076,US,/img/logos/US/SHOP.png
431,US8243481061,SHW,The Sherwin-Williams Company,USA,NYSE,USD,Common Stock,US8243481061,US,/img/logos/US/SHW.png
432,US82968B1035,SIRI,Sirius XM Holdings Inc,USA,NASDAQ,USD,Common Stock,US82968B1035,US,/img/logos/US/SIRI.png
433,US8326964058,SJM,The J. M. Smucker Company,USA,NYSE,USD,Common Stock,US8326964058,US,/img/logos/US/SJM.png
434,CA82028K2002,SJR,Shaw Communications Inc,USA,NYSE,USD,Common Stock,CA82028K2002,US,/img/logos/US/SJR.png
435,AN8068571086,SLB,Schlumberger Limited,USA,NYSE,USD,Common Stock,AN8068571086,US,/img/logos/US/SLB.png
436,CA8667961053,SLF,Sun Life Financial Inc,USA,NYSE,USD,Common Stock,CA8667961053,US,/img/logos/US/SLF.png
437,US78440X1019,SLG,SL Green Realty Corp,USA,NYSE,USD,Common Stock,US78440X1019,US,/img/logos/US/Slg.png
438,DE0007236101,SMAWF,Siemens Aktiengesellschaft,USA,PINK,USD,Common Stock,DE0007236101,US,/img/logos/US/smawf.png
439,US8330341012,SNA,Snap-on Incorporated,USA,NYSE,USD,Common Stock,US8330341012,US,/img/logos/US/SNA.png
440,US83304A1060,SNAP,Snap Inc,USA,NYSE,USD,Common Stock,US83304A1060,US,/img/logos/US/snap.png
441,JP3435000009,SNEJF,Sony Group Corporation,USA,PINK,USD,Common Stock,JP3435000009,US,/img/logos/US/SNEJF.png
442,US8425871071,SO,The Southern Company,USA,NYSE,USD,Common Stock,US8425871071,US,/img/logos/US/SO.png
443,US83570H1086,SONO,"Sonos, Inc",USA,NASDAQ,USD,Common Stock,US83570H1086,US,/img/logos/US/SONO.png
444,US92766K1060,SPCE,"Virgin Galactic Holdings, Inc",USA,NYSE,USD,Common Stock,US92766K1060,US,/img/logos/US/SPCE.png
445,US8288061091,SPG,"Simon Property Group, Inc",USA,NYSE,USD,Common Stock,US8288061091,US,/img/logos/US/spg.png
446,US8522341036,SQ,"Square, Inc",USA,NYSE,USD,Common Stock,US8522341036,US,/img/logos/US/SQ.png
447,US8589121081,SRCL,"Stericycle, Inc",USA,NASDAQ,USD,Common Stock,US8589121081,US,/img/logos/US/SRCL.png
448,US8168511090,SRE,Sempra Energy,USA,NYSE,USD,Common Stock,US8168511090,US,/img/logos/US/sre.png
449,US83587F2020,SRNE,"Sorrento Therapeutics, Inc",USA,NASDAQ,USD,Common Stock,US83587F2020,US,/img/logos/US/SRNE.png
450,US8574771031,STT,State Street Corporation,USA,NYSE,USD,Common Stock,US8574771031,US,/img/logos/US/STT.png
451,IE00B58JVZ52,STX,Seagate Technology Holdings plc,USA,NASDAQ,USD,Common Stock,IE00B58JVZ52,US,/img/logos/US/STX.png
452,US21036P1084,STZ,"Constellation Brands, Inc",USA,NYSE,USD,Common Stock,US21036P1084,US,/img/logos/MX/STZ.png
453,CA8672241079,SU,Suncor Energy Inc,USA,NYSE,USD,Common Stock,CA8672241079,US,/img/logos/US/SU.png
454,SE0000148884,SVKEF,Skandinaviska Enskilda Banken AB (publ),USA,PINK,USD,Common Stock,SE0000148884,US,/img/logos/US/SVKEF.png
455,SE0007100599,SVNLF,Svenska Handelsbanken AB (publ),USA,PINK,USD,Common Stock,SE0007100599,US,/img/logos/US/SVNLF.png
456,GB00B1FH8J72,SVTRF,Severn Trent Plc,USA,PINK,USD,Common Stock,GB00B1FH8J72,US,/img/logos/US/SVTRF.png
457,US8545021011,SWK,"Stanley Black & Decker, Inc",USA,NYSE,USD,Common Stock,US8545021011,US,/img/logos/US/swk.png
458,US83088M1027,SWKS,"Skyworks Solutions, Inc",USA,NASDAQ,USD,Common Stock,US83088M1027,US,/img/logos/US/swks.png
459,US8454671095,SWN,Southwestern Energy Company,USA,NYSE,USD,Common Stock,US8454671095,US,/img/logos/US/swn.png
460,US87165B1035,SYF,Synchrony Financial,USA,NYSE,USD,Common Stock,US87165B1035,US,/img/logos/US/SYF.png
461,US8636671013,SYK,Stryker Corporation,USA,NYSE,USD,Common Stock,US8636671013,US,/img/logos/US/syk.png
462,US8718291078,SYY,Sysco Corporation,USA,NYSE,USD,Common Stock,US8718291078,US,/img/logos/US/SYY.png
463,FR0010613471,SZEVF,Suez SA,USA,PINK,USD,Common Stock,FR0010613471,US,/img/logos/US/SZEVF.png
464,US00206R1023,T,AT&T Inc,USA,NYSE,USD,Common Stock,US00206R1023,US,/img/logos/US/t.png
465,US60871R2094,TAP,Molson Coors Beverage Company,USA,NYSE,USD,Common Stock,US60871R2094,US,/img/logos/US/TAP.png
466,CA8911605092,TD,The Toronto-Dominion Bank,USA,NYSE,USD,Common Stock,CA8911605092,US,/img/logos/US/TD.png
467,US88076W1036,TDC,Teradata Corporation,USA,NYSE,USD,Common Stock,US88076W1036,US,/img/logos/US/tdc.png
468,CA8787422044,TECK,Teck Resources Limited,USA,NYSE,USD,Common Stock,CA8787422044,US,/img/logos/US/TECK.png
469,US87901J1051,TGNA,TEGNA Inc,USA,NYSE,USD,Common Stock,US87901J1051,US,/img/logos/US/TGNA.png
470,US87612E1064,TGT,Target Corporation,USA,NYSE,USD,Common Stock,US87612E1064,US,/img/logos/US/TGT.png
471,US8725401090,TJX,"The TJX Companies, Inc",USA,NYSE,USD,Common Stock,US8725401090,US,/img/logos/US/tjx.png
472,US88688T1007,TLRY,"Tilray, Inc",USA,NASDAQ,USD,Common Stock,US88688T1007,US,/img/logos/US/TLRY.png
473,US8835561023,TMO,Thermo Fisher Scientific Inc,USA,NYSE,USD,Common Stock,US8835561023,US,/img/logos/US/tmo.png
474,US8725901040,TMUS,"T-Mobile US, Inc",USA,NASDAQ,USD,Common Stock,US8725901040,US,/img/logos/US/TMUS.png
475,CA8849037095,TRI,Thomson Reuters Corporation,USA,NYSE,USD,Common Stock,CA8849037095,US,/img/logos/US/TRI.png
476,US8969452015,TRIP,"TripAdvisor, Inc",USA,NASDAQ,USD,Common Stock,US8969452015,US,/img/logos/US/TRIP.png
477,US74144T1088,TROW,"T. Rowe Price Group, Inc",USA,NASDAQ,USD,Common Stock,US74144T1088,US,/img/logos/US/TROW.png
478,CA87807B1076,TRP,TC Energy Corporation,USA,NYSE,USD,Common Stock,CA87807B1076,US,/img/logos/US/TRP.png
479,US89417E1091,TRV,"The Travelers Companies, Inc",USA,NYSE,USD,Common Stock,US89417E1091,US,/img/logos/US/trv.PNG
480,GB0008847096,TSCDF,Tesco PLC,USA,OTCQX,USD,Common Stock,GB0008847096,US,/img/logos/US/TSCDF.png
481,US8923561067,TSCO,Tractor Supply Company,USA,NASDAQ,USD,Common Stock,US8923561067,US,/img/logos/US/TSCO.png
482,US88160R1014,TSLA,"Tesla, Inc",USA,NASDAQ,USD,Common Stock,US88160R1014,US,/img/logos/US/TSLA.png
483,US9024941034,TSN,"Tyson Foods, Inc",USA,NYSE,USD,Common Stock,US9024941034,US,/img/logos/US/TSN.png
484,FR0000120271,TTFNF,TotalEnergies SE,USA,PINK,USD,Common Stock,FR0000120271,US,/img/logos/US/TTFNF.png
485,US8740541094,TTWO,"Take-Two Interactive Software, Inc",USA,NASDAQ,USD,Common Stock,US8740541094,US,/img/logos/US/TTWO.png
486,CA87971M1032,TU,TELUS Corporation,USA,NYSE,USD,Common Stock,CA87971M1032,US,/img/logos/US/TU.png
487,US90184L1026,TWTR,"Twitter, Inc",USA,NYSE,USD,Common Stock,US90184L1026,US,/img/logos/US/TWTR.png
488,US88338N1072,TXMD,"TherapeuticsMD, Inc",USA,NASDAQ,USD,Common Stock,US88338N1072,US,
489,US8825081040,TXN,Texas Instruments Incorporated,USA,NASDAQ,USD,Common Stock,US8825081040,US,/img/logos/US/TXN.png
490,US8832031012,TXT,Textron Inc,USA,NYSE,USD,Common Stock,US8832031012,US,/img/logos/US/txt.png
491,US9043111072,UAA,"Under Armour, Inc",USA,NYSE,USD,Common Stock,US9043111072,US,/img/logos/US/UA.png
492,US9100471096,UAL,"United Airlines Holdings, Inc",USA,NASDAQ,USD,Common Stock,US9100471096,US,/img/logos/US/ual.png
493,US90353T1007,UBER,"Uber Technologies, Inc",USA,NYSE,USD,Common Stock,US90353T1007,US,/img/logos/US/UBER.png
494,CH0244767585,UBS,UBS Group AG,USA,NYSE,USD,Common Stock,CH0244767585,US,/img/logos/US/UBS.png
495,FR0000054470,UBSFF,Ubisoft Entertainment SA,USA,PINK,USD,Common Stock,FR0000054470,US,/img/logos/US/UBSFF.png
496,US74347Y8883,UCO,ProShares Ultra Bloomberg Crude Oil,USA,NYSE ARCA,USD,ETF,US74347Y8883,US,
497,US90384S3031,ULTA,"Ulta Beauty, Inc",USA,NASDAQ,USD,Common Stock,US90384S3031,US,/img/logos/US/ULTA.png
498,US91324P1021,UNH,UnitedHealth Group Incorporated,USA,NYSE,USD,Common Stock,US91324P1021,US,/img/logos/US/unh.png
499,US91529Y1064,UNM,Unum Group,USA,NYSE,USD,Common Stock,US91529Y1064,US,/img/logos/US/unm.png
