,ISIN,Code,Name,Country,Exchange,Currency,Type,ExchangeCode,ETF Underlying Index Ticker,Dvd Freq
1111,US55261F1049,MTB,M & T BANK CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1112,US5658491064,MRO,MARATHON OIL CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1113,US56585A1025,MPC,MARATHON PETROLEUM CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1114,US5719032022,MAR,MARRIOTT INTERNATIONAL -CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1115,US5717481023,MMC,MARSH & MCLENNAN COS,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1116,US5732841060,MLM,MARTIN MARIETTA MATERIALS,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1117,US5745991068,MAS,MASCO CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1118,US57636Q1040,MA,MASTERCARD INC - A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1119,US5770811025,MAT,MATTEL INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1120,US57772K1016,MXIM,MAXIM INTEGRATED PRODUCTS,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1121,US5797802064,MKC,MCCORMICK & CO-NON VTG SHRS,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1122,US5801351017,MCD,MCDONALD'S CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1123,US58155Q1031,MCK,MCKESSON CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1124,US58933Y1055,MRK,MERCK & CO. INC.,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1125,US58933Y1055,MRK,MERCK & CO. INC.,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1126,US59156R1086,MET,METLIFE INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1127,US5950171042,MCHP,MICROCHIP TECHNOLOGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1128,US5951121038,MU,MICRON TECHNOLOGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1129,US5949181045,MSFT,MICROSOFT CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1130,US60770K1079,MRNA,MODERNA INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1131,US6081901042,MHK,MOHAWK INDUSTRIES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1132,US60871R2094,TAP,MOLSON COORS BEVERAGE CO - B,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1133,US6092071058,MDLZ,MONDELEZ INTERNATIONAL INC-A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1134,US61174X1090,MNST,MONSTER BEVERAGE CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1135,US6153691059,MCO,MOODY'S CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1136,US6174464486,MS,MORGAN STANLEY,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1137,US61945C1036,MOS,MOSAIC CO/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1138,US6200763075,MSI,MOTOROLA SOLUTIONS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1139,US6267171022,MUR,MURPHY OIL CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1140,US6311031081,NDAQ,NASDAQ INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1141,US64110D1046,NTAP,NETAPP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1142,US64110L1061,NFLX,NETFLIX INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1143,US6512291062,NWL,NEWELL BRANDS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1144,US6516391066,NEM,NEWMONT CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1145,US65249B1098,NWSA,NEWS CORP - CLASS A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Semi-Anl
1146,US65339F1012,NEE,NEXTERA ENERGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1147,US6541061031,NKE,NIKE INC -CL B,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1148,US65473P1057,NI,NISOURCE INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1149,US6550441058,NBL,NOBLE ENERGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1150,US6558441084,NSC,NORFOLK SOUTHERN CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1151,US6558441084,NSC,NORFOLK SOUTHERN CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1152,US6658591044,NTRS,NORTHERN TRUST CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1153,US6293775085,NRG,NRG ENERGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1154,US6703461052,NUE,NUCOR CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1155,US67066G1040,NVDA,NVIDIA CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1156,US6745991058,OXY,OCCIDENTAL PETROLEUM CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1157,US6819191064,OMC,OMNICOM GROUP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1158,US6826801036,OKE,ONEOK INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1159,US68389X1054,ORCL,ORACLE CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1160,US67103H1077,ORLY,O'REILLY AUTOMOTIVE INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1161,US6937181088,PCAR,PACCAR INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1162,US7010941042,PH,PARKER HANNIFIN CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1163,US7043261079,PAYX,PAYCHEX INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1164,US70450Y1038,PYPL,PAYPAL HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,#N/A N/A
1165,US7127041058,PBCT,PEOPLE'S UNITED FINANCIAL,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1166,US7134481081,PEP,PEPSICO INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1167,US7140461093,PKI,PERKINELMER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1168,US7170811035,PFE,PFIZER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1169,US7181721090,PM,PHILIP MORRIS INTERNATIONAL,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1170,US7185461040,PSX,PHILLIPS 66,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1171,US7234841010,PNW,PINNACLE WEST CAPITAL,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1172,US72352L1061,PINS,PINTEREST INC- CLASS A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1173,US7237871071,PXD,PIONEER NATURAL RESOURCES CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1174,US6934751057,PNC,PNC FINANCIAL SERVICES GROUP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1175,US6935061076,PPG,PPG INDUSTRIES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1176,US7427181091,PG,PROCTER & GAMBLE CO/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1177,US7433151039,PGR,PROGRESSIVE CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1178,US74340W1036,PLD,PROLOGIS INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1179,US7443201022,PRU,PRUDENTIAL FINANCIAL INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1180,US7445731067,PEG,PUBLIC SERVICE ENTERPRISE GP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1181,US74460D1090,PSA,PUBLIC STORAGE,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1182,US7458671010,PHM,PULTEGROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1183,US6936561009,PVH,PVH CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1184,US74736K1016,QRVO,QORVO INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1185,US7475251036,QCOM,QUALCOMM INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1186,US74762E1029,PWR,QUANTA SERVICES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1187,US74834L1008,DGX,QUEST DIAGNOSTICS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1188,US7512121010,RL,RALPH LAUREN CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1189,US75281A1097,RRC,RANGE RESOURCES CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1190,US7561091049,O,REALTY INCOME CORP,USA,US,USD,REIT,US,#N/A Field Not Applicable,Monthly
1191,US7588491032,REG,REGENCY CENTERS CORP,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1192,US7591EP1005,RF,REGIONS FINANCIAL CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1193,US7607591002,RSG,REPUBLIC SERVICES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1194,US7703231032,RHI,ROBERT HALF INTL INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1195,US7739031091,ROK,ROCKWELL AUTOMATION INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1196,US77543R1023,ROKU,ROKU INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1197,US7766961061,ROP,ROPER TECHNOLOGIES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1198,US7782961038,ROST,ROSS STORES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1199,US7835491082,R,RYDER SYSTEM INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1200,US79466L3024,CRM,SALESFORCE.COM INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1201,IE00B58JVZ52,STT,SEAGATE TECHNOLOGY,Germany,GR,EUR,Common Stock,XETRA,#N/A Field Not Applicable,Quarter
1202,US8168511090,SRE,SEMPRA ENERGY,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1203,US8243481061,SHW,SHERWIN-WILLIAMS CO/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1204,CA82509L1076,SHOP,SHOPIFY INC - CLASS A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1205,US8288061091,SPG,SIMON PROPERTY GROUP INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1206,US82968B1035,SIRI,SIRIUS XM HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1207,US83088M1027,SWKS,SKYWORKS SOLUTIONS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1208,US78440X1019,SLG1USD,SL GREEN REALTY CORP,USA,US,USD,REIT,US,#N/A Field Not Applicable,Monthly
1209,US8330341012,SNA,SNAP-ON INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1210,US83570H1086,SONO,SONOS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1211,US8425871071,SO,SOUTHERN CO/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1212,US8447411088,LUV,SOUTHWEST AIRLINES CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1213,US8454671095,SWN,SOUTHWESTERN ENERGY CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1214,US8522341036,SQ,SQUARE INC - A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1215,US8545021011,SWK,STANLEY BLACK & DECKER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1216,US8552441094,SBUX,STARBUCKS CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1217,US8574771031,STT,STATE STREET CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1218,US8589121081,SRCL,STERICYCLE INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1219,US8636671013,SYK,STRYKER CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1220,US87165B1035,SYF,SYNCHRONY FINANCIAL,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1221,US8718291078,SYY,SYSCO CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1222,US74144T1088,TROW,T ROWE PRICE GROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1223,US8740541094,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1224,US87612E1064,TGT,TARGET CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1225,US87901J1051,TGNA,TEGNA INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1226,US88076W1036,TDC,TERADATA CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1227,US88160R1014,TSLA,TESLA INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1228,US8825081040,TXN,TEXAS INSTRUMENTS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1229,US8832031012,TXT,TEXTRON INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1230,US8835561023,TMO,THERMO FISHER SCIENTIFIC INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1231,US8865471085,TIF,TIFFANY & CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1232,US8725401090,TJX,TJX COMPANIES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1233,US8725901040,TMUS,T-MOBILE US INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1234,US8923561067,TSCO,TRACTOR SUPPLY COMPANY,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1235,US89417E1091,TRV,TRAVELERS COS INC/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1236,US8969452015,TRIP,TRIPADVISOR INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1237,US90184L1026,TWTR,TWITTER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1238,US9024941034,TSN,TYSON FOODS INC-CL A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1239,US90353T1007,UBER,UBER TECHNOLOGIES INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1240,US90384S3031,ULTA,ULTA BEAUTY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1241,US9043111072,UAA,UNDER ARMOUR INC-CLASS A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1242,US9078181081,UNP,UNION PACIFIC CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1243,US9100471096,UAL,UNITED AIRLINES HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1244,US9100471096,UAL,UNITED AIRLINES HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1245,US91324P1021,UNH,UNITEDHEALTH GROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1246,US91529Y1064,UNM,UNUM GROUP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1247,US9113121068,UPS,UNITED PARCEL SERVICE-CL B,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1248,US9170471026,URBN,URBAN OUTFITTERS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1249,US9029733048,USB,US BANCORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1250,US91913Y1001,VLO,VALERO ENERGY CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1251,US92220P1057,VAR,VARIAN MEDICAL SYSTEMS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1252,US92276F1003,VTR,VENTAS INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1253,US92343E1029,VRSN,VERISIGN INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1254,US92345Y1064,VRSK,VERISK ANALYTICS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1255,US92343V1044,VZ,VERIZON COMMUNICATIONS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1256,US92532F1003,VRTX,VERTEX PHARMACEUTICALS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1257,US9182041080,VFC,VF CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1258,US92826C8394,V,VISA INC-CLASS A SHARES,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1259,US9290421091,VNO,VORNADO REALTY TRUST,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1260,US9291601097,VMC,VULCAN MATERIALS CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1261,US9314271084,WBA,WALGREENS BOOTS ALLIANCE INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1262,US9311421039,WMT,WALMART INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1263,US2546871060,DIS,WALT DISNEY CO/THE,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Semi-Anl
1264,US94106L1098,WM,WASTE MANAGEMENT INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1265,US9418481035,WAT,WATERS CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,None
1266,US92939U1060,WEC,WEC ENERGY GROUP INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1267,US9497461015,WFC,WELLS FARGO & CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1268,US95040Q1040,WELL,WELLTOWER INC,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1269,US9553061055,WST,WEST PHARMACEUTICAL SERVICES,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1270,US9598021098,WU,WESTERN UNION CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1271,US96145D1054,WRK,WESTROCK CO,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1272,US9621661043,WY,WEYERHAEUSER CO,USA,US,USD,REIT,US,#N/A Field Not Applicable,Quarter
1273,US9633201069,WHR,WHIRLPOOL CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1274,US9694571004,WMB,WILLIAMS COS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1275,US98138H1014,WDAY,WORKDAY INC-CLASS A,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,#N/A N/A
1276,US3848021040,GWW,WW GRAINGER INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1277,US9831341071,WYNN,WYNN RESORTS LTD,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1278,US9831341071,WYNN,WYNN RESORTS LTD,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1279,US98389B1008,XEL,XCEL ENERGY INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1280,US98421M1062,XRX,XEROX HOLDINGS CORP,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1281,US9839191015,XLNX,XILINX INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Irreg
1282,US98419M1009,XYL,XYLEM INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1283,US9884981013,YUM,YUM! BRANDS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1284,US98956P1021,ZBH,ZIMMER BIOMET HOLDINGS INC,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
1285,US9897011071,ZION,ZIONS BANCORP NA,USA,US,USD,Common Stock,US,#N/A Field Not Applicable,Quarter
